depth_from,depth_to,gold_grade,collar.x,collar.y,collar.z,Sample depth,Dip,Azimuth,X_Coordinate,Y_Coordinate,Z_Coordinate
56.18101783,63.96701379,13.57121638,1918.999493,7491.443371,200.9238429,60.07401581,62.50258399,266.9598731,1873.265604,7523.259816,216.0102092
142.607146,149.5989318,24.02351168,1755.353599,7437.787736,186.6372443,146.1030389,-0.986932131,317.196675,1788.204061,7402.314712,202.9241419
109.7990913,113.7340926,16.10110827,1803.991908,7589.349557,188.8451457,111.7665919,-54.81619009,166.7447551,1778.922667,7633.995937,183.9800386
89.79877263,102.1404727,8.709044054,1898.984191,7365.693535,192.646979,95.96962266,42.59552159,104.1043434,1877.377927,7400.015947,181.9122079
23.40279607,33.1969672,11.10440645,1844.626803,7476.356925,194.2557334,28.29988163,-14.63793558,114.7847668,1817.251331,7518.242255,181.9221754
23.39917805,40.7803474,4.968410472,1921.571312,7510.063004,196.9583266,32.08976273,17.03294702,250.901373,1955.579707,7488.627445,212.2364505
8.712541825,9.838678645,5.219942485,1988.36237,7547.669347,197.882202,9.275610235,-70.69224777,204.3208922,2036.25257,7531.226341,187.1311029
129.9264219,142.9818465,18.37058214,1734.964006,7422.091309,211.9001442,136.4541342,23.68511811,175.1378872,1760.482671,7419.083853,213.1337061
90.16725176,105.5447549,15.50169692,1912.870315,7506.076572,215.6701234,97.85600333,-22.76091199,72.99866836,1945.228101,7478.496639,208.9396947
106.2108867,121.5208748,11.17222769,1769.103247,7390.960441,201.6215446,113.8658807,-29.84584505,315.1640475,1781.153293,7387.5027,201.5789621
3.087674144,20.8661165,3.783302425,1824.343018,7430.642828,243.5107494,11.97689532,86.38480418,281.1673611,1827.220509,7381.562996,237.3414301
145.4864778,160.2026358,14.81722572,1709.858818,7568.688139,218.7197806,152.8445568,-12.1624843,50.62989663,1732.016618,7606.441796,210.4377293
124.8663961,143.4586923,18.8035844,1740.772215,7584.972283,235.123385,134.1625442,32.04690806,132.2598437,1694.348503,7551.201687,232.216305
31.8508666,38.8376703,6.284147671,1795.933187,7515.645204,244.6966483,35.34426845,22.9909564,195.1675537,1752.073239,7515.729987,238.0136697
27.27374508,37.58632871,2.802787023,1802.595742,7412.305567,191.419458,32.43003689,-71.22536084,163.5619042,1821.32309,7455.188217,205.0071102
27.51067648,28.28522991,10.00229252,1969.875565,7546.017337,209.9512139,27.8979532,44.62695667,143.2065019,1953.382561,7578.115591,213.1774783
45.63633644,46.2720094,6.798241844,1922.543873,7307.760125,210.3247281,45.95417292,-31.83134338,258.7794831,1921.427308,7335.372582,197.3714092
78.71346474,83.89593384,13.66633056,1991.65489,7330.823773,204.8130575,81.30469929,53.80911886,19.62126153,2019.854147,7341.368337,194.2508855
64.7917528,67.25749314,10.59695885,1879.721453,7498.412121,180.6234107,66.02462297,19.37534087,169.7077221,1887.437244,7492.03947,162.7655506
43.68437103,49.2584927,11.89625634,1772.51412,7387.374573,237.1180475,46.47143187,-32.92353181,94.38540854,1803.040307,7381.97831,229.1055929
